36354	2011-04-14T21:08:00+03:00	13
36730	2011-04-15T11:43:00+03:00	14
36890	2011-04-15T11:52:00+03:00	15
37575	2011-04-15T15:32:00+03:00	17
37714	2011-04-15T18:55:00+03:00	4
38008	2011-04-15T20:46:00+03:00	15
38161	2011-04-15T21:05:00+03:00	18
38590	2011-04-15T21:11:00+03:00	6
39035	2011-04-16T15:40:00+03:00	8
39242	2011-04-16T15:57:00+03:00	11
39510	2011-04-16T16:06:00+03:00	23
39873	2011-04-16T16:28:00+03:00	13
40166	2011-04-17T13:55:00+03:00	27
40368	2011-04-18T00:49:00+03:00	11
40540	2011-04-18T22:29:00+03:00	21
40933	2011-04-18T22:38:00+03:00	32
41112	2011-04-18T22:50:00+03:00	7
41382	2011-04-18T23:00:00+03:00	22
41516	2011-04-19T01:50:00+03:00	1
41811	2011-04-19T04:45:00+03:00	12
42040	2011-04-19T15:56:00+03:00	14
42243	2011-04-20T15:21:00+03:00	14
42541	2011-04-20T15:32:00+03:00	21
42954	2011-04-21T11:11:00+03:00	15
43020	2011-04-21T14:26:00+03:00	9
43339	2011-04-21T14:49:00+03:00	13
43547	2011-04-22T00:01:00+03:00	7
43944	2011-04-22T10:29:00+03:00	7
44065	2011-04-22T10:44:00+03:00	6
44294	2011-04-22T20:23:00+03:00	5
45035	2011-04-23T22:25:00+03:00	7
45460	2011-04-23T22:52:00+03:00	5
45732	2011-04-24T03:15:00+03:00	12
45868	2011-04-25T12:46:00+03:00	9
46228	2011-04-25T13:56:00+03:00	11
47276	2011-04-26T10:57:00+03:00	14
46803	2011-04-26T11:15:00+03:00	9
46958	2011-04-26T11:25:00+03:00	18
47654	2011-04-26T12:09:00+03:00	13
48101	2011-04-26T14:00:00+03:00	15
48379	2011-04-26T20:11:00+03:00	28
48527	2011-04-26T22:17:00+03:00	6
48838	2011-04-26T22:46:00+03:00	8
49280	2011-04-27T09:00:00+03:00	7
49536	2011-04-28T12:37:00+03:00	7
49841	2011-04-28T12:48:00+03:00	25
50119	2011-04-29T01:55:00+03:00	5
50425	2011-04-29T02:06:00+03:00	10
50438	2011-04-29T02:10:00+03:00	7
51190	2011-04-29T20:47:00+03:00	6
51475	2011-04-29T20:57:00+03:00	1
51850	2011-04-29T21:17:00+03:00	14
52296	2011-05-03T01:52:00+03:00	12
52522	2011-05-03T01:59:00+03:00	21
53202	2011-05-03T18:53:00+03:00	7
53265	2011-05-03T18:59:00+03:00	27
53721	2011-05-04T10:50:00+03:00	51
53995	2011-05-05T12:06:00+03:00	5
54191	2011-05-05T12:12:00+03:00	7
54505	2011-05-05T12:19:00+03:00	21
54584	2011-05-05T12:31:00+03:00	20
54881	2011-05-06T11:21:00+03:00	13
55195	2011-05-06T11:40:00+03:00	9
55433	2011-05-06T11:51:00+03:00	9
55654	2011-05-06T17:31:00+03:00	16
56300	2011-05-10T16:31:00+03:00	20
56455	2011-05-10T16:35:00+03:00	15
56577	2011-05-10T18:05:00+03:00	7
56910	2011-05-10T21:00:00+03:00	22
57341	2011-05-11T02:27:00+03:00	58
57788	2011-05-11T03:35:00+03:00	8
57859	2011-05-11T12:58:00+03:00	7
58431	2011-05-11T20:43:00+03:00	13
58275	2011-05-11T22:35:00+03:00	9
58701	2011-05-11T23:16:00+03:00	6
59083	2011-05-12T11:04:00+03:00	20
59370	2011-05-12T11:31:00+03:00	9
59501	2011-05-12T11:42:00+03:00	10
59762	2011-05-12T16:14:00+03:00	20
60108	2011-05-13T04:19:00+03:00	5
60386	2011-05-13T14:16:00+03:00	24
60586	2011-05-13T14:48:00+03:00	7
60798	2011-05-13T15:02:00+03:00	7
61097	2011-05-13T15:40:00+03:00	21
61281	2011-05-14T16:44:00+03:00	7
61629	2011-05-14T17:06:00+03:00	7
61745	2011-05-14T17:24:00+03:00	4
62004	2011-05-14T21:35:00+03:00	4
62358	2011-05-15T14:54:00+03:00	6
62555	2011-05-15T23:04:00+03:00	30
62764	2011-05-15T23:10:00+03:00	4
63228	2011-05-15T23:26:00+03:00	9
63297	2011-05-15T23:51:00+03:00	13
63625	2011-05-16T12:25:00+03:00	17
63744	2011-05-16T12:32:00+03:00	22
64338	2011-05-16T16:11:00+03:00	9
64237	2011-05-16T16:15:00+03:00	12
64807	2011-05-16T17:56:00+03:00	16
64563	2011-05-16T18:42:00+03:00	5
65033	2011-05-16T19:22:00+03:00	17
65793	2011-05-17T10:40:00+03:00	7
65754	2011-05-17T10:43:00+03:00	21
66106	2011-05-17T11:40:00+03:00	22
66562	2011-05-17T17:19:00+03:00	23
67006	2011-05-17T18:38:00+03:00	11
