date,comments_count,post_count,comments_average
2011-11-05,322,6,53
2011-11-06,427,12,35
2011-11-07,420,14,30
2011-11-08,495,15,33
2011-11-09,354,9,39
2011-11-10,442,11,40
2011-11-11,451,12,37
2011-11-12,44,2,22
2011-11-13,362,12,30
2011-11-14,636,16,39
2011-11-15,746,17,43
2011-11-16,379,14,27
2011-11-17,412,10,41
2011-11-18,345,10,34
2011-11-19,260,9,28
2011-11-20,411,15,27
2011-11-21,695,21,33
2011-11-22,670,15,44
2011-11-23,620,19,32
2011-11-24,479,14,34
2011-11-25,463,17,27
2011-11-26,141,7,20
2011-11-27,380,14,27
2011-11-28,500,11,45
2011-11-29,433,14,30
2011-11-30,407,15,27
2011-12-01,538,17,31
2011-12-02,449,12,37
2011-12-03,218,5,43
2011-12-04,284,4,71
2011-12-05,605,14,43
2011-12-06,205,8,25
2011-12-07,715,15,47
2011-12-08,670,20,33
2011-12-09,508,10,50
2011-12-10,150,7,21
2011-12-11,444,12,37
2011-12-12,258,6,43
2011-12-13,668,15,44
2011-12-14,427,9,47
2011-12-15,586,9,65
2011-12-16,499,12,41
2011-12-17,507,10,50
2011-12-18,441,11,40
2011-12-19,729,13,56
2011-12-20,389,7,55
2011-12-21,508,10,50
2011-12-22,256,8,32
2011-12-23,263,10,26
2011-12-24,345,8,43
2011-12-25,353,9,39
2011-12-26,123,5,24
2011-12-27,785,16,49
2011-12-28,685,14,48
2011-12-29,537,14,38
2011-12-30,527,22,23
2011-12-31,209,6,34
2012-01-01,181,7,25
2012-01-02,298,8,37
2012-01-03,133,5,26
2012-01-04,156,6,26
2012-01-05,273,10,27
2012-01-06,295,8,36
2012-01-07,277,8,34
2012-01-08,192,6,32
2012-01-09,614,14,43
2012-01-10,227,9,25
2012-01-11,550,12,45
2012-01-12,553,9,61
2012-01-13,438,10,43
2012-01-14,302,10,30
2012-01-15,327,7,46
2012-01-16,522,13,40
2012-01-17,674,14,48
2012-01-18,392,9,43
2012-01-19,504,8,63
2012-01-20,596,13,45
2012-01-21,421,11,38
2012-01-22,734,12,61
2012-01-23,613,11,55
2012-01-24,842,14,60
2012-01-25,795,18,44
2012-01-26,744,13,57
2012-01-27,944,9,104
2012-01-28,960,9,106
2012-01-29,673,11,61
2012-01-30,1163,15,77
2012-01-31,995,19,52
2012-02-01,719,15,47
2012-02-02,1289,16,80
2012-02-03,813,14,58
2012-02-04,515,8,64
2012-02-05,470,12,39
2012-02-06,914,19,48
2012-02-07,955,13,73
2012-02-08,938,16,58
2012-02-09,947,14,67
2012-02-10,804,14,57
2012-02-11,530,13,40
2012-02-12,752,13,57
2012-02-13,686,14,49
2012-02-14,677,10,67
2012-02-15,648,11,58
2012-02-16,1055,17,62
2012-02-17,723,10,72
2012-02-18,378,9,42
2012-02-19,538,10,53
2012-02-20,971,16,60
2012-02-21,891,14,63
2012-02-22,1128,16,70
2012-02-23,624,18,34
2012-02-24,484,10,48
2012-02-25,927,12,77
2012-02-26,694,13,53
2012-02-27,962,15,64
2012-02-28,1062,17,62
2012-02-29,539,11,49
2012-03-01,1294,14,92
2012-03-02,1193,24,49
2012-03-03,602,14,43
2012-03-04,292,5,58
2012-03-05,547,10,54
2012-03-06,589,13,45
2012-03-07,753,14,53
2012-03-08,373,7,53
2012-03-09,247,7,35
2012-03-10,841,20,42
2012-03-11,1729,20,86
2012-03-12,931,14,66
2012-03-13,1032,21,49
2012-03-14,1188,24,49
2012-03-15,1700,15,113
2012-03-16,1006,12,83
2012-03-17,1176,14,84
2012-03-18,758,14,54
2012-03-19,549,15,36
2012-03-20,1179,18,65
2012-03-21,1128,19,59
2012-03-22,740,18,41
2012-03-23,1527,16,95
2012-03-24,473,9,52
2012-03-25,393,9,43
2012-03-26,1006,26,38
2012-03-27,637,12,53
2012-03-28,1324,22,60
2012-03-29,1314,23,57
2012-03-30,1085,17,63
2012-03-31,500,11,45
2012-04-01,1049,21,49
2012-04-02,1249,19,65
2012-04-03,1027,15,68
2012-04-04,1204,22,54
2012-04-05,2394,21,114
2012-04-06,1260,15,84
2012-04-07,737,11,67
2012-04-08,928,13,71
2012-04-09,1221,17,71
2012-04-10,1298,18,72
2012-04-11,1552,20,77
2012-04-12,1350,17,79
2012-04-13,1451,18,80
2012-04-14,1308,15,87
2012-04-15,714,12,59
2012-04-16,864,16,54
2012-04-17,1010,17,59
2012-04-18,1228,18,68
2012-04-19,1227,21,58
2012-04-20,1221,12,101
2012-04-21,693,11,63
2012-04-22,1314,15,87
2012-04-23,1445,23,62
2012-04-24,1448,24,60
2012-04-25,1244,20,62
2012-04-26,751,12,62
2012-04-27,1785,25,71
2012-04-28,788,10,78
2012-04-29,622,12,51
2012-04-30,532,11,48
2012-05-01,505,9,56
2012-05-02,681,12,56
2012-05-03,1375,19,72
2012-05-04,1469,19,77
2012-05-05,1117,18,62
2012-05-06,306,6,51
2012-05-07,263,9,29
2012-05-08,388,11,35
2012-05-09,883,11,80
2012-05-10,1069,21,50
2012-05-11,1174,19,61
2012-05-12,1543,17,90
2012-05-13,1828,13,140
2012-05-14,2115,18,117
2012-05-15,3002,24,125
2012-05-16,1904,18,105
2012-05-17,1709,17,100
2012-05-18,1453,21,69
2012-05-19,560,9,62
2012-05-20,844,12,70
2012-05-21,3169,32,99
2012-05-22,2228,24,92
2012-05-23,1914,25,76
2012-05-24,2918,16,182
2012-05-25,2011,22,91
2012-05-26,441,9,49
2012-05-27,1090,12,90
2012-05-28,2465,26,94
2012-05-29,1381,24,57
2012-05-30,2965,29,102
2012-05-31,1858,15,123
2012-06-01,1920,21,91
2012-06-02,1113,15,74
2012-06-03,1399,25,55
2012-06-04,1355,23,58
2012-06-05,1606,21,76
2012-06-06,1752,22,79
2012-06-07,2375,20,118
2012-06-08,1932,20,96
2012-06-09,1649,20,82
2012-06-10,1056,19,55
2012-06-11,877,14,62
2012-06-12,540,15,36
2012-06-13,1849,30,61
2012-06-14,876,14,62
2012-06-15,1040,15,69
2012-06-16,787,12,65
2012-06-17,770,14,55
2012-06-18,1314,22,59
2012-06-19,1351,19,71
2012-06-20,811,10,81
2012-06-21,2207,18,122
2012-06-22,874,12,72
2012-06-23,174,3,58
2012-06-24,1240,13,95
2012-06-25,3151,26,121
2012-06-26,2591,25,103
2012-06-27,2398,18,133
2012-06-28,1888,22,85
2012-06-29,979,18,54
2012-06-30,847,13,65
2012-07-01,1908,19,100
2012-07-02,2038,23,88
2012-07-03,1278,17,75
2012-07-04,2967,30,98
2012-07-05,2596,33,78
2012-07-06,1479,21,70
2012-07-07,388,5,77
2012-07-08,1266,17,74
2012-07-09,2146,39,55
2012-07-10,2322,24,96
2012-07-11,1411,21,67
2012-07-12,2283,26,87
2012-07-13,1595,21,75
2012-07-14,812,14,58
2012-07-15,1023,11,93
2012-07-16,2703,32,84
2012-07-17,2084,24,86
2012-07-18,2153,21,102
2012-07-19,2173,27,80
2012-07-20,2068,24,86
2012-07-21,336,5,67
2012-07-22,1387,20,69
2012-07-23,2914,34,85
2012-07-24,2442,32,76
2012-07-25,1554,20,77
2012-07-26,3303,35,94
2012-07-27,1726,15,115
2012-07-28,578,12,48
2012-07-29,1477,23,64
2012-07-30,2263,31,73
2012-07-31,1815,30,60
2012-08-01,1901,20,95
2012-08-02,1823,31,58
2012-08-03,1910,19,100
2012-08-04,639,15,42
2012-08-05,1230,19,64
2012-08-06,1540,22,70
2012-08-07,2422,28,86
2012-08-08,1426,22,64
2012-08-09,1992,31,64
2012-08-10,1246,19,65
2012-08-11,1333,17,78
2012-08-12,771,15,51
2012-08-13,1559,28,55
2012-08-14,1296,19,68
2012-08-15,776,14,55
2012-08-16,1204,24,50
2012-08-17,818,11,74
2012-08-18,650,9,72
2012-08-19,1018,17,59
2012-08-20,1143,17,67
2012-08-21,1064,24,44
2012-08-22,1217,21,57
2012-08-23,992,13,76
2012-08-24,2063,30,68
2012-08-25,926,13,71
2012-08-26,896,16,56
2012-08-27,1692,27,62
2012-08-28,1396,24,58
2012-08-29,1917,30,63
2012-08-30,817,17,48
2012-08-31,1509,24,62
2012-09-01,810,12,67
2012-09-02,1108,15,73
2012-09-03,2247,37,60
2012-09-04,1285,20,64
2012-09-05,1793,28,64
2012-09-06,1394,24,58
2012-09-07,1101,24,45
2012-09-08,701,15,46
2012-09-09,1263,21,60
2012-09-10,1637,24,68
2012-09-11,1088,17,64
2012-09-12,1152,29,39
2012-09-13,1017,22,46
2012-09-14,1422,25,56
2012-09-15,631,12,52
2012-09-16,756,12,63
2012-09-17,1565,22,71
2012-09-18,2281,26,87
2012-09-19,2331,18,129
2012-09-20,1567,20,78
2012-09-21,798,14,57
2012-09-22,431,9,47
2012-09-23,1726,26,66
2012-09-24,3502,17,206
2012-09-25,718,11,65
2012-09-26,1225,18,68
2012-09-27,2679,15,178
2012-09-28,2425,28,86
2012-09-29,475,10,47
2012-09-30,1210,19,63
2012-10-01,2071,11,188
2012-10-02,2027,20,101
2012-10-03,1713,25,68
2012-10-04,2295,18,127
2012-10-05,2101,20,105
2012-10-06,2777,25,111
2012-10-07,1383,18,76
2012-10-08,1658,19,87
2012-10-09,1880,20,94
2012-10-10,1912,15,127
2012-10-11,1436,16,89
2012-10-12,1229,19,64
2012-10-13,1842,11,167
2012-10-14,1819,15,121
2012-10-15,2104,29,72
2012-10-16,1366,21,65
2012-10-17,2145,16,134
2012-10-18,1780,16,111
2012-10-19,225,3,75
2012-10-20,439,7,62
2012-10-21,1650,16,103
2012-10-22,1526,21,72
2012-10-23,2841,24,118
2012-10-24,3299,21,157
2012-10-25,2046,24,85
2012-10-26,1461,12,121
2012-10-27,1547,13,119
2012-10-28,721,11,65
2012-10-29,1194,15,79
2012-10-30,2241,22,101
2012-10-31,2035,20,101
2012-11-01,2921,20,146
2012-11-02,1645,17,96
2012-11-03,731,9,81
2012-11-04,1179,13,90
2012-11-05,967,11,87
2012-11-06,1703,18,94
2012-11-07,2386,20,119
2012-11-08,2317,15,154
2012-11-09,1357,10,135
2012-11-10,883,14,63
2012-11-11,1163,12,96
2012-11-12,2075,24,86
2012-11-13,2103,24,87
2012-11-14,1689,18,93
2012-11-15,934,15,62
2012-11-16,1412,17,83
2012-11-17,535,9,59
2012-11-18,1015,14,72
2012-11-19,1571,14,112
2012-11-20,1267,17,74
2012-11-21,1701,17,100
2012-11-22,1718,14,122
2012-11-23,1849,17,108
2012-11-24,1525,11,138
2012-11-25,976,8,122
2012-11-26,1949,18,108
2012-11-27,2640,21,125
2012-11-28,1795,18,99
2012-11-29,1924,19,101
2012-11-30,2203,15,146
2012-12-01,1243,12,103
2012-12-02,1286,13,98
2012-12-03,1375,8,171
2012-12-04,2218,18,123
2012-12-05,1976,18,109
2012-12-06,1889,17,111
2012-12-07,2803,25,112
2012-12-08,1420,14,101
2012-12-09,649,9,72
2012-12-10,2147,20,107
2012-12-11,2262,13,174
2012-12-12,3978,21,189
2012-12-13,1400,19,73
2012-12-14,1729,15,115
2012-12-15,948,10,94
2012-12-16,1293,10,129
2012-12-17,1757,17,103
2012-12-18,1390,15,92
2012-12-19,1147,16,71
2012-12-20,2415,24,100
2012-12-21,996,15,66
2012-12-22,629,5,125
2012-12-23,1836,20,91
2012-12-24,1451,23,63
2012-12-25,2163,29,74
2012-12-26,2160,28,77
2012-12-27,838,13,64
2012-12-28,1790,18,99
2012-12-29,761,11,69
2012-12-30,2238,11,203
2012-12-31,677,14,48
2013-01-01,28,1,28
2013-01-02,519,11,47
2013-01-03,542,5,108
2013-01-04,727,10,72
2013-01-05,1955,17,115
2013-01-06,1250,15,83
2013-01-07,1093,15,72
2013-01-08,1584,16,99
2013-01-09,2121,27,78
2013-01-10,1382,22,62
2013-01-11,2239,26,86
2013-01-12,1399,14,99
2013-01-13,1310,15,87
2013-01-14,2054,20,102
2013-01-15,1654,20,82
2013-01-16,2713,22,123
2013-01-17,3136,28,112
2013-01-18,2052,28,73
2013-01-19,948,14,67
2013-01-20,1497,16,93
2013-01-21,3058,33,92
2013-01-22,2464,28,88
2013-01-23,2321,27,85
2013-01-24,3299,32,103
2013-01-25,1029,15,68
2013-01-26,1049,12,87
2013-01-27,1509,16,94
2013-01-28,893,13,68
2013-01-29,2386,25,95
2013-01-30,3208,19,168
2013-01-31,2407,22,109
2013-02-01,2127,22,96
2013-02-02,752,12,62
2013-02-03,1501,19,79
2013-02-04,1767,19,93
2013-02-05,1657,14,118
2013-02-06,1488,14,106
2013-02-07,1406,17,82
2013-02-08,675,11,61
2013-02-09,1452,16,90
2013-02-10,1483,19,78
2013-02-11,3175,32,99
2013-02-12,1822,14,130
2013-02-13,1819,19,95
2013-02-14,1672,22,76
2013-02-15,2266,16,141
2013-02-16,727,9,80
2013-02-17,1981,20,99
2013-02-18,2721,20,136
2013-02-19,1252,13,96
2013-02-20,1668,15,111
2013-02-21,2237,19,117
2013-02-22,1843,20,92
2013-02-23,843,11,76
2013-02-24,1867,23,81
2013-02-25,2295,20,114
2013-02-26,2632,18,146
2013-02-27,1775,18,98
2013-02-28,1781,16,111
2013-03-01,2499,17,147
2013-03-02,1229,16,76
2013-03-03,1601,15,106
2013-03-04,1748,28,62
2013-03-05,1064,20,53
2013-03-06,2404,21,114
2013-03-07,1088,12,90
2013-03-08,1393,14,99
2013-03-09,902,10,90
2013-03-10,2729,18,151
2013-03-11,2310,29,79
2013-03-12,2234,23,97
2013-03-13,2523,23,109
2013-03-14,2124,21,101
2013-03-15,1506,20,75
2013-03-16,1804,17,106
2013-03-17,1021,13,78
2013-03-18,2512,24,104
2013-03-19,1902,21,90
2013-03-20,2115,20,105
2013-03-21,1124,15,74
2013-03-22,2336,20,116
2013-03-23,1358,14,97
2013-03-24,2064,20,103
2013-03-25,2799,22,127
2013-03-26,1677,20,83
2013-03-27,2750,23,119
2013-03-28,1934,22,87
2013-03-29,2857,22,129
2013-03-30,593,7,84
2013-03-31,1482,15,98
2013-04-01,1228,8,153
2013-04-02,2753,21,131
2013-04-03,2264,20,113
2013-04-04,3508,21,167
2013-04-05,1946,23,84
2013-04-06,1051,13,80
2013-04-07,1437,14,102
2013-04-08,3413,24,142
2013-04-09,2423,21,115
2013-04-10,2856,21,136
2013-04-11,2069,19,108
2013-04-12,1447,15,96
2013-04-13,1039,14,74
2013-04-14,2684,13,206
2013-04-15,2356,18,130
2013-04-16,2364,18,131
2013-04-17,2720,18,151
2013-04-18,2743,18,152
2013-04-19,2889,18,160
2013-04-20,757,8,94
2013-04-21,778,8,97
2013-04-22,2437,23,105
2013-04-23,3444,20,172
2013-04-24,1534,15,102
2013-04-25,2279,17,134
2013-04-26,2318,21,110
2013-04-27,1141,10,114
2013-04-28,1106,11,100
2013-04-29,1730,17,101
2013-04-30,1966,17,115
2013-05-01,402,8,50
2013-05-02,979,15,65
2013-05-03,539,6,89
2013-05-04,906,15,60
2013-05-05,871,13,67
2013-05-06,2203,24,91
2013-05-07,1657,19,87
2013-05-08,2235,15,149
2013-05-09,780,8,97
2013-05-10,981,8,122
2013-05-11,1339,12,111
2013-05-12,885,15,59
2013-05-13,1918,14,137
2013-05-14,2121,22,96
2013-05-15,2137,20,106
2013-05-16,1171,12,97
2013-05-17,2551,23,110
2013-05-18,401,6,66
2013-05-19,1429,11,129
2013-05-20,2110,21,100
2013-05-21,2463,14,175
2013-05-22,2006,15,133
2013-05-23,1868,18,103
2013-05-24,3040,23,132
2013-05-25,649,10,64
2013-05-26,1985,18,110
2013-05-27,3144,25,125
2013-05-28,3428,25,137
2013-05-29,2388,25,95
2013-05-30,3126,27,115
2013-05-31,1516,16,94
2013-06-01,1052,13,80
2013-06-02,1871,15,124
2013-06-03,3221,24,134
2013-06-04,3179,26,122
2013-06-05,2992,21,142
2013-06-06,3510,21,167
2013-06-07,1784,12,148
2013-06-08,959,10,95
2013-06-09,1273,11,115
2013-06-10,2600,32,81
2013-06-11,4777,23,207
2013-06-12,1698,18,94
2013-06-13,2170,22,98
2013-06-14,2217,21,105
2013-06-15,918,8,114
2013-06-16,1683,12,140
2013-06-17,2811,13,216
2013-06-18,1764,16,110
2013-06-19,2060,20,103
2013-06-20,1606,16,100
2013-06-21,1782,19,93
2013-06-22,1167,12,97
2013-06-23,1465,11,133
2013-06-24,1673,15,111
2013-06-25,1340,11,121
2013-06-26,1270,12,105
2013-06-27,1227,10,122
2013-06-28,2329,15,155
2013-06-29,1164,12,97
2013-06-30,1705,20,85
2013-07-01,2986,23,129
2013-07-02,2531,18,140
2013-07-03,2861,20,143
2013-07-04,2412,17,141
2013-07-05,2540,24,105
2013-07-06,833,6,138
2013-07-07,1151,10,115
2013-07-08,3168,28,113
2013-07-09,3093,26,118
2013-07-10,4840,27,179
2013-07-11,2016,19,106
2013-07-12,3305,20,165
2013-07-13,696,6,116
2013-07-14,2622,16,163
2013-07-15,2476,21,117
2013-07-16,2137,21,101
2013-07-17,2122,23,92
2013-07-18,2523,24,105
2013-07-19,1614,17,94
2013-07-20,688,8,86
2013-07-21,2286,24,95
2013-07-22,2553,22,116
2013-07-23,3207,34,94
2013-07-24,2656,21,126
2013-07-25,2836,23,123
2013-07-26,3010,25,120
2013-07-27,1160,14,82
2013-07-28,2924,13,224
2013-07-29,3541,28,126
2013-07-30,3745,34,110
2013-07-31,2802,25,112
2013-08-01,2078,14,148
2013-08-02,3373,24,140
2013-08-03,924,15,61
2013-08-04,2012,21,95
2013-08-05,1831,19,96
2013-08-06,2567,32,80
2013-08-07,2451,26,94
2013-08-08,2609,24,108
2013-08-09,2167,22,98
2013-08-10,1408,15,93
2013-08-11,865,11,78
2013-08-12,2259,26,86
2013-08-13,2643,31,85
2013-08-14,1926,27,71
2013-08-15,3699,30,123
2013-08-16,2081,17,122
2013-08-17,2363,14,168
2013-08-18,755,6,125
2013-08-19,2199,17,129
2013-08-20,2597,12,216
2013-08-21,2330,11,211
2013-08-22,647,9,71
2013-08-23,2724,23,118
2013-08-24,535,4,133
2013-08-25,1114,13,85
2013-08-26,2654,24,110
2013-08-27,2200,17,129
2013-08-28,2192,19,115
2013-08-29,2215,21,105
2013-08-30,1370,17,80
2013-08-31,1375,15,91
2013-09-01,960,13,73
2013-09-02,2761,25,110
2013-09-03,1758,15,117
2013-09-04,1813,22,82
2013-09-05,2839,26,109
2013-09-06,1295,18,71
2013-09-07,747,11,67
2013-09-08,944,10,94
2013-09-09,2731,18,151
2013-09-10,1528,19,80
2013-09-11,1453,19,76
2013-09-12,1931,23,83
2013-09-13,1476,21,70
2013-09-14,770,8,96
2013-09-15,1036,15,69
2013-09-16,1994,25,79
2013-09-17,2439,24,101
2013-09-18,1454,14,103
