date,comments_count,post_count,comments_average
2013-12-31,866,13,66
2014-01-01,1094,8,136
2014-01-02,520,8,65
2014-01-03,549,7,78
2014-01-04,668,10,66
2014-01-05,1891,19,99
2014-01-06,1000,10,100
2014-01-07,682,8,85
2014-01-08,738,9,82
2014-01-09,1855,21,88
2014-01-10,2947,31,95
2014-01-11,1354,13,104
2014-01-12,858,6,143
2014-01-13,1801,18,100
2014-01-14,2281,22,103
2014-01-15,1257,20,62
2014-01-16,1552,23,67
2014-01-17,889,16,55
2014-01-18,1640,14,117
2014-01-19,1417,14,101
2014-01-20,2220,19,116
2014-01-21,2250,21,107
2014-01-22,2332,19,122
2014-01-23,3148,25,125
2014-01-24,1689,18,93
2014-01-25,1179,12,98
2014-01-26,1338,20,66
2014-01-27,1425,26,54
2014-01-28,2044,26,78
2014-01-29,1344,16,84
2014-01-30,3097,23,134
2014-01-31,1815,27,67
2014-02-01,1236,10,123
2014-02-02,795,10,79
2014-02-03,2127,22,96
2014-02-04,1754,29,60
2014-02-05,1260,18,70
2014-02-06,1770,21,84
2014-02-07,1137,17,66
2014-02-08,734,12,61
2014-02-09,251,5,50
2014-02-10,1225,16,76
2014-02-11,1329,20,66
2014-02-12,1166,18,64
2014-02-13,1998,20,99
2014-02-14,1335,20,66
2014-02-15,1124,9,124
2014-02-16,1001,14,71
2014-02-17,1123,20,56
2014-02-18,1697,21,80
2014-02-19,2833,18,157
2014-02-20,3001,22,136
2014-02-21,2166,20,108
2014-02-22,2601,8,325
2014-02-23,948,12,79
2014-02-24,1472,21,70
2014-02-25,1322,15,88
2014-02-26,1617,19,85
2014-02-27,920,16,57
2014-02-28,2048,19,107
2014-03-01,992,8,124
2014-03-02,1345,12,112
2014-03-03,962,14,68
2014-03-04,869,12,72
2014-03-05,1505,22,68
2014-03-06,1045,15,69
2014-03-07,575,8,71
2014-03-08,664,13,51
2014-03-09,606,11,55
2014-03-10,380,7,54
2014-03-11,2007,23,87
2014-03-12,1676,17,98
2014-03-13,1295,16,80
2014-03-14,1755,16,109
2014-03-15,785,10,78
2014-03-16,1043,11,94
2014-03-17,1116,18,62
2014-03-18,1645,24,68
2014-03-19,1609,23,69
2014-03-20,1455,17,85
2014-03-21,1260,21,60
2014-03-22,389,6,64
2014-03-23,1848,14,132
2014-03-24,682,11,62
2014-03-25,1460,21,69
2014-03-26,1567,23,68
2014-03-27,1102,17,64
2014-03-28,1436,23,62
2014-03-29,749,13,57
2014-03-30,1018,8,127
2014-03-31,523,9,58
2014-04-01,1285,19,67
2014-04-02,1102,23,47
2014-04-03,1366,17,80
2014-04-04,1423,17,83
2014-04-05,1210,11,110
2014-04-06,640,9,71
2014-04-07,1717,12,143
2014-04-08,1246,12,103
2014-04-09,1934,20,96
2014-04-10,1790,20,89
2014-04-11,1450,21,69
2014-04-12,890,13,68
2014-04-13,928,16,58
2014-04-14,991,18,55
2014-04-15,1341,23,58
2014-04-16,937,10,93
2014-04-17,861,9,95
2014-04-18,1621,14,115
2014-04-19,1766,20,88
2014-04-20,990,8,123
2014-04-21,1004,18,55
2014-04-22,1530,21,72
2014-04-23,1667,19,87
2014-04-24,2017,12,168
2014-04-25,1849,17,108
2014-04-26,1161,9,129
2014-04-27,824,7,117
2014-04-28,1472,21,70
2014-04-29,1731,18,96
2014-04-30,1589,16,99
2014-05-01,1164,20,58
2014-05-02,940,10,94
2014-05-03,618,9,68
2014-05-04,990,15,66
2014-05-05,1887,16,117
2014-05-06,1416,19,74
2014-05-07,1506,19,79
2014-05-08,1943,19,102
2014-05-09,999,10,99
2014-05-10,557,8,69
2014-05-11,1080,14,77
2014-05-12,1343,20,67
2014-05-13,808,10,80
2014-05-14,1281,16,80
2014-05-15,2178,19,114
2014-05-16,1077,11,97
2014-05-17,2540,28,90
2014-05-18,1184,17,69
2014-05-19,2161,29,74
2014-05-20,555,8,69
2014-05-21,2415,31,77
2014-05-22,1323,14,94
2014-05-23,1497,24,62
2014-05-24,998,16,62
2014-05-25,1427,14,101
2014-05-26,1560,28,55
2014-05-27,2171,28,77
2014-05-28,1453,18,80
2014-05-29,1907,25,76
2014-05-30,1718,18,95
2014-05-31,1683,16,105
2014-06-01,970,15,64
2014-06-02,2219,12,184
2014-06-03,1132,16,70
2014-06-04,2007,18,111
2014-06-05,2345,24,97
2014-06-06,1368,16,85
2014-06-07,788,9,87
2014-06-08,1171,14,83
2014-06-09,2238,23,97
2014-06-10,1470,17,86
2014-06-11,1737,14,124
2014-06-12,1117,11,101
2014-06-13,418,5,83
2014-06-14,886,8,110
2014-06-15,962,16,60
2014-06-16,535,11,48
2014-06-17,1041,13,80
2014-06-18,1641,24,68
2014-06-19,1483,16,92
2014-06-20,1109,15,73
2014-06-21,1019,14,72
2014-06-22,982,16,61
2014-06-23,1446,20,72
2014-06-24,775,12,64
2014-06-25,1058,13,81
2014-06-26,1059,9,117
2014-06-27,756,14,54
2014-06-28,626,8,78
2014-06-29,450,7,64
2014-06-30,1023,13,78
2014-07-01,1289,16,80
2014-07-02,2245,27,83
2014-07-03,883,15,58
2014-07-04,1702,17,100
2014-07-05,1016,15,67
2014-07-06,1003,14,71
2014-07-07,1230,22,55
2014-07-08,742,9,82
2014-07-09,374,5,74
2014-07-10,1013,9,112
2014-07-11,1234,12,102
2014-07-12,1132,9,125
2014-07-13,972,12,81
2014-07-14,1981,18,110
2014-07-15,1020,10,102
2014-07-16,1685,20,84
2014-07-17,1875,13,144
2014-07-18,1203,21,57
2014-07-19,1416,19,74
2014-07-20,1644,22,74
2014-07-21,2452,26,94
2014-07-22,595,8,74
2014-07-23,2323,16,145
2014-07-24,627,7,89
2014-07-25,1360,15,90
2014-07-26,203,5,40
2014-07-27,344,7,49
2014-07-28,1304,15,86
2014-07-29,1073,14,76
2014-07-30,1287,13,99
2014-07-31,968,13,74
2014-08-01,425,10,42
2014-08-02,146,4,36
2014-08-03,750,14,53
2014-08-04,2126,18,118
2014-08-05,2461,22,111
2014-08-06,1625,16,101
2014-08-07,1440,20,72
2014-08-08,1663,19,87
2014-08-09,513,6,85
2014-08-10,904,8,113
2014-08-11,463,7,66
2014-08-12,1400,13,107
2014-08-13,274,3,91
2014-08-14,654,7,93
2014-08-15,525,8,65
2014-08-16,637,6,106
2014-08-17,583,6,97
2014-08-18,836,10,83
2014-08-19,1308,17,76
2014-08-20,1533,20,76
2014-08-21,2155,21,102
2014-08-22,1347,16,84
2014-08-23,658,10,65
2014-08-24,1291,12,107
2014-08-25,1783,16,111
2014-08-26,1492,28,53
2014-08-27,2209,21,105
2014-08-28,1278,23,55
2014-08-29,1225,19,64
2014-08-30,663,12,55
2014-08-31,660,15,44
2014-09-01,886,15,59
2014-09-02,1608,21,76
2014-09-03,1776,24,74
2014-09-04,1998,25,79
2014-09-05,1353,15,90
2014-09-06,1339,16,83
2014-09-07,468,9,52
2014-09-08,1899,31,61
2014-09-09,1349,17,79
2014-09-10,2017,24,84
2014-09-11,1558,21,74
2014-09-12,288,6,48
2014-09-13,824,17,48
2014-09-14,1499,21,71
2014-09-15,1622,25,64
2014-09-16,1329,21,63
2014-09-17,1167,18,64
2014-09-18,1439,21,68
2014-09-19,1127,12,93
2014-09-20,528,9,58
2014-09-21,1597,19,84
2014-09-22,1548,23,67
2014-09-23,1171,24,48
2014-09-24,1677,21,79
2014-09-25,1097,15,73
2014-09-26,1276,22,58
2014-09-27,377,7,53
2014-09-28,1486,12,123
2014-09-29,2056,30,68
2014-09-30,1727,20,86
2014-10-01,1543,26,59
2014-10-02,2207,18,122
2014-10-03,1451,20,72
2014-10-04,923,17,54
2014-10-05,1113,11,101
2014-10-06,1704,22,77
2014-10-07,2813,29,97
2014-10-08,2272,17,133
2014-10-09,2144,15,142
2014-10-10,1099,10,109
2014-10-11,1151,9,127
2014-10-12,809,9,89
2014-10-13,1325,18,73
2014-10-14,1513,24,63
2014-10-15,1082,15,72
2014-10-16,2280,27,84
2014-10-17,1407,16,87
2014-10-18,652,12,54
2014-10-19,668,9,74
2014-10-20,1951,28,69
2014-10-21,1953,18,108
2014-10-22,1602,17,94
2014-10-23,2086,12,173
2014-10-24,2075,18,115
2014-10-25,516,7,73
2014-10-26,1159,11,105
2014-10-27,1806,25,72
2014-10-28,2399,18,133
2014-10-29,1391,11,126
2014-10-30,1824,12,152
2014-10-31,1312,17,77
2014-11-01,797,6,132
2014-11-02,1247,6,207
2014-11-03,894,10,89
2014-11-04,877,14,62
2014-11-05,1325,16,82
2014-11-06,774,8,96
2014-11-07,1078,14,77
2014-11-08,890,9,98
2014-11-09,682,5,136
2014-11-10,1542,18,85
2014-11-11,1508,13,116
2014-11-12,1873,18,104
2014-11-13,1941,20,97
2014-11-14,1345,7,192
2014-11-15,459,4,114
2014-11-16,347,7,49
2014-11-17,2366,10,236
2014-11-18,1488,17,87
2014-11-19,1886,16,117
2014-11-20,1282,19,67
2014-11-21,943,8,117
2014-11-22,669,6,111
2014-11-23,1021,10,102
2014-11-24,1277,20,63
2014-11-25,1213,16,75
2014-11-26,1241,26,47
2014-11-27,1386,17,81
2014-11-28,1660,19,87
2014-11-29,399,6,66
2014-11-30,1618,17,95
2014-12-01,1381,19,72
2014-12-02,1586,17,93
2014-12-03,1561,13,120
2014-12-04,1328,10,132
2014-12-05,932,12,77
2014-12-06,523,8,65
2014-12-07,598,11,54
2014-12-08,1014,25,40
2014-12-09,1071,18,59
2014-12-10,904,14,64
2014-12-11,560,5,112
2014-12-12,1627,17,95
2014-12-13,923,15,61
2014-12-14,1071,14,76
2014-12-15,702,17,41
2014-12-16,989,12,82
2014-12-17,1051,18,58
2014-12-18,603,6,100
2014-12-19,700,7,100
2014-12-20,377,7,53
2014-12-21,318,5,63
2014-12-22,1150,10,115
2014-12-23,443,10,44
2014-12-24,922,10,92
2014-12-25,533,12,44
2014-12-26,662,12,55
2014-12-27,251,3,83
2014-12-28,682,9,75
2014-12-29,596,5,119
2014-12-30,727,13,55
2014-12-31,537,10,53
2015-01-01,664,7,94
2015-01-02,332,7,47
2015-01-03,458,7,65
2015-01-04,563,7,80
2015-01-05,767,9,85
2015-01-06,933,10,93
2015-01-07,1125,12,93
2015-01-08,533,7,76
2015-01-09,679,10,67
2015-01-10,459,10,45
2015-01-11,710,12,59
2015-01-12,2028,17,119
2015-01-13,1344,19,70
2015-01-14,1526,20,76
2015-01-15,990,14,70
2015-01-16,1369,17,80
2015-01-17,1107,11,100
2015-01-18,1065,12,88
2015-01-19,1195,20,59
2015-01-20,2064,18,114
2015-01-21,1516,23,65
2015-01-22,859,13,66
2015-01-23,1066,15,71
2015-01-24,2909,19,153
2015-01-25,1001,11,91
2015-01-26,1239,18,68
2015-01-27,1660,23,72
2015-01-28,1351,17,79
2015-01-29,1614,22,73
2015-01-30,1343,18,74
2015-01-31,649,11,59
2015-02-01,991,11,90
2015-02-02,1200,16,75
2015-02-03,1087,17,63
2015-02-04,1986,16,124
2015-02-05,1948,28,69
2015-02-06,1483,22,67
2015-02-07,1189,18,66
2015-02-08,1498,21,71
2015-02-09,1117,25,44
2015-02-10,1718,26,66
2015-02-11,1058,20,52
2015-02-12,989,16,61
2015-02-13,972,18,54
2015-02-14,1171,15,78
2015-02-15,661,13,50
2015-02-16,2169,26,83
2015-02-17,882,19,46
2015-02-18,1570,22,71
2015-02-19,1270,15,84
2015-02-20,1645,19,86
2015-02-21,582,13,44
2015-02-22,1977,14,141
2015-02-23,845,13,65
2015-02-24,930,16,58
2015-02-25,1372,12,114
2015-02-26,1401,18,77
2015-02-27,2112,25,84
2015-02-28,2202,16,137
2015-03-01,1126,16,70
2015-03-02,1487,18,82
2015-03-03,1126,12,93
2015-03-04,1705,23,74
2015-03-05,1528,19,80
2015-03-06,1022,16,63
2015-03-07,526,8,65
2015-03-08,740,10,74
2015-03-09,1092,16,68
2015-03-10,1405,16,87
2015-03-11,1147,17,67
2015-03-12,1543,19,81
2015-03-13,1068,13,82
2015-03-14,484,11,44
2015-03-15,1183,16,73
2015-03-16,1399,19,73
2015-03-17,1270,15,84
2015-03-18,929,18,51
2015-03-19,1010,16,63
2015-03-20,1124,13,86
2015-03-21,824,8,103
2015-03-22,817,12,68
2015-03-23,1491,19,78
2015-03-24,2180,15,145
2015-03-25,1272,15,84
2015-03-26,1795,22,81
2015-03-27,1318,14,94
2015-03-28,982,13,75
2015-03-29,868,14,62
2015-03-30,1461,22,66
2015-03-31,650,11,59
2015-04-01,1049,18,58
2015-04-02,1412,23,61
2015-04-03,1728,17,101
2015-04-04,545,12,45
2015-04-05,1004,15,66
2015-04-06,1135,19,59
2015-04-07,1474,18,81
2015-04-08,1146,15,76
2015-04-09,1233,15,82
2015-04-10,957,21,45
2015-04-11,1211,7,173
2015-04-12,1084,18,60
2015-04-13,1321,24,55
2015-04-14,1287,24,53
2015-04-15,1517,20,75
2015-04-16,1652,18,91
2015-04-17,702,7,100
2015-04-18,1678,10,167
2015-04-19,628,9,69
2015-04-20,1215,19,63
2015-04-21,565,11,51
2015-04-22,1526,24,63
2015-04-23,1634,20,81
2015-04-24,1740,19,91
2015-04-25,540,5,108
2015-04-26,523,5,104
2015-04-27,1169,17,68
2015-04-28,1436,19,75
2015-04-29,846,15,56
2015-04-30,556,8,69
2015-05-01,107,3,35
2015-05-02,532,7,76
2015-05-03,537,8,67
2015-05-04,911,11,82
2015-05-05,1746,18,97
2015-05-06,964,14,68
2015-05-07,536,11,48
2015-05-08,803,12,66
2015-05-09,394,5,78
2015-05-10,599,9,66
2015-05-11,742,8,92
2015-05-12,1299,21,61
2015-05-13,1456,15,97
2015-05-14,864,10,86
2015-05-15,1274,15,84
2015-05-16,877,10,87
2015-05-17,547,5,109
2015-05-18,1021,20,51
2015-05-19,1452,20,72
2015-05-20,1074,17,63
2015-05-21,1173,16,73
2015-05-22,903,11,82
2015-05-23,409,9,45
2015-05-24,344,5,68
2015-05-25,1166,14,83
2015-05-26,849,12,70
2015-05-27,1414,19,74
2015-05-28,1096,19,57
2015-05-29,912,16,57
2015-05-30,350,4,87
2015-05-31,270,6,45
2015-06-01,804,12,67
2015-06-02,1817,15,121
2015-06-03,1039,16,64
2015-06-04,1582,19,83
2015-06-05,699,11,63
2015-06-06,505,8,63
2015-06-07,284,2,142
2015-06-08,1282,18,71
2015-06-09,1357,13,104
2015-06-10,1351,16,84
2015-06-11,1013,19,53
2015-06-12,1047,11,95
2015-06-13,674,10,67
2015-06-14,596,9,66
2015-06-15,2072,25,82
2015-06-16,1197,13,92
2015-06-17,1002,17,58
2015-06-18,761,9,84
2015-06-19,877,12,73
2015-06-20,863,6,143
2015-06-21,936,7,133
2015-06-22,1540,15,102
2015-06-23,1691,16,105
2015-06-24,1266,11,115
2015-06-25,1307,9,145
2015-06-26,543,5,108
2015-06-27,954,12,79
2015-06-28,1072,13,82
2015-06-29,1425,17,83
2015-06-30,1653,18,91
2015-07-01,1549,17,91
2015-07-02,586,6,97
2015-07-03,1266,11,115
2015-07-04,664,7,94
2015-07-05,1234,13,94
2015-07-06,1700,20,85
2015-07-07,1395,15,93
2015-07-08,1159,16,72
2015-07-09,597,9,66
2015-07-10,1537,14,109
2015-07-11,902,10,90
2015-07-12,630,15,42
2015-07-13,1264,23,54
2015-07-14,1180,16,73
2015-07-15,1325,14,94
2015-07-16,1009,13,77
2015-07-17,1186,14,84
2015-07-18,402,7,57
2015-07-19,407,8,50
2015-07-20,866,12,72
2015-07-21,1198,15,79
2015-07-22,885,13,68
2015-07-23,753,10,75
2015-07-24,1293,13,99
2015-07-25,606,8,75
2015-07-26,554,7,79
2015-07-27,1768,17,104
2015-07-28,1354,14,96
2015-07-29,1148,15,76
2015-07-30,2047,23,89
2015-07-31,1411,15,94
2015-08-01,993,14,70
2015-08-02,1026,10,102
2015-08-03,1280,21,60
2015-08-04,2300,21,109
2015-08-05,1239,15,82
2015-08-06,944,13,72
2015-08-07,1052,12,87
2015-08-08,540,9,60
2015-08-09,989,11,89
2015-08-10,1762,12,146
2015-08-11,1565,18,86
2015-08-12,1437,18,79
2015-08-13,2098,23,91
2015-08-14,926,9,102
2015-08-15,892,10,89
2015-08-16,742,7,106
2015-08-17,1685,15,112
2015-08-18,1515,16,94
2015-08-19,1558,14,111
2015-08-20,1336,11,121
2015-08-21,928,13,71
2015-08-22,799,16,49
2015-08-23,814,11,74
2015-08-24,490,7,70
2015-08-25,1632,12,136
2015-08-26,1513,9,168
2015-08-27,1131,10,113
2015-08-28,1449,16,90
2015-08-29,983,12,81
2015-08-30,815,13,62
2015-08-31,627,9,69
2015-09-01,1370,11,124
2015-09-02,882,12,73
2015-09-03,1634,16,102
2015-09-04,2069,16,129
2015-09-05,483,8,60
2015-09-06,782,13,60
2015-09-07,532,11,48
2015-09-08,1002,18,55
